Longitude,Latitude,evapproxy,premin,premax,salmin,salmax,minairtemp,maxairtemp,minsst,maxsst,minsoilmoist,maxsoilmoist,stddev_elevdepth,Min_czcs,Max_czcs,runoffnew,Wave_heigh,Tideformproxy,ClusterIds
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
146.5,-18.5,7125.38,32.25,150.0,3347.0,3529.0,284.5,301.4,297117.0,302147.0,0.77,0.0,1504.85,0.28,0.5,0.0,3.0,4.5,5.0
119.5,-19.5,9879.24,0.0,85.71,3502.0,3536.0,277.4,309.1,298350.0,302033.0,0.0,1.11,622.136,0.44,1.44,16.0,1.0,6.0,5.0
120.5,-19.5,11587.8,0.0,125.0,3507.0,3545.0,276.3,308.5,298443.0,301940.0,0.0,0.0,2598.02,0.41,1.93,0.0,1.0,6.0,5.0
121.5,-19.5,11347.8,0.0,150.0,3500.0,3537.0,276.0,308.0,298556.0,301943.0,0.0,4.0,2184.66,0.59,2.19,25.0,1.0,6.0,5.0
146.5,-19.5,8058.16,18.0,150.0,3366.0,3533.0,283.0,302.0,297051.0,302078.0,1.0,12.0,3704.3,0.13,0.92,150.0,3.0,4.5,5.0
147.5,-19.5,9780.0,18.0,150.0,3435.0,3539.0,285.0,302.0,296655.0,301865.0,0.0,8.0,2212.72,0.09,0.67,600.0,3.0,4.5,5.0
148.5,-19.5,7634.8,18.0,150.0,3489.0,3542.0,283.9,302.4,296440.0,301750.0,0.56,0.0,1919.59,0.15,0.33,0.0,3.0,4.5,5.0
115.5,-20.5,9406.88,0.0,50.33,3499.0,3510.0,279.0,308.4,297400.0,301593.0,0.0,0.0,2814.96,0.62,1.63,0.0,1.0,6.0,3.0
116.5,-20.5,10196.8,0.0,64.43,3493.0,3510.0,278.1,309.1,297650.0,301727.0,0.0,0.0,1999.53,0.69,2.13,0.0,1.0,6.0,3.0
117.5,-20.5,10215.1,0.0,75.0,3494.0,3518.0,278.1,308.8,297743.0,301707.0,0.0,0.0,1979.76,0.57,1.71,0.0,1.0,6.0,3.0
